totina,appl,worker
ros_rus,silvich,parent
ros_rus,salvich,parent
ros_rus,alvicheese,parent
pao_bao,sofa000,friend
nan_cer,sofa000,parent
milvich,sofa000,acquaintance
milvich,silvich,parent
milvich,salvich,parent
milvich,ros_rus,partner
alvicheese,sofa000,friend
appl,sams,working_with
caesar_salad,nan_cer,partner
faber_crax,sofa000,friend
alvicheese,pao_bao,friend
domi_123,sofa000,friend
bal_spiagg,sofa000,member
alvicheese,domi_123,friend
bocce_squad,domi_123,member
domi_123,faber_crax,friend
CsanG,sofa000,friend
bocce_squad,sofa000,member
totina,triX,friend
caesar_salad,sofa000,parent
caesar_salad,domi_123,friend
domi_123,pao_bao,friend
faber_crax,pao_bao,friend
